,max,average,median
dream,259,100.33372160745486,69.0
dress,555,208.91904484566103,160.0
dried,398,167.42632498543972,100.0
drier,532,205.4082702387886,119.0
drift,407,151.62085032032616,71.0
drill,657,245.16016307513104,166.0
drink,426,167.442632498544,101.0
drive,338,123.58357600465929,113.0
droit,299,98.03669190448457,57.0
droll,682,246.52067559697147,168.0
drone,255,81.75247524752476,61.0
drool,592,239.81654047757718,127.0
droop,785,335.5410599883518,146.0
dross,682,253.77868375072802,168.0
drove,363,129.6138613861386,112.0
drown,444,174.2393709959231,103.0
druid,566,247.84100174723355,235.0
drunk,460,185.60803727431568,92.0
dryer,604,257.36808386721026,183.0
dryly,592,267.76587070471754,256.0
duchy,596,257.82003494467097,138.0
dully,941,427.3855562026791,173.0
dummy,941,499.3855562026791,173.0
dumpy,690,318.5701805474665,120.0
dunce,322,119.00698893418753,62.0
dusky,575,254.77868375072802,114.0
dusty,441,172.50145602795573,96.0
dutch,533,213.41351193942924,102.0
duvet,376,148.97320908561446,71.0
dwarf,445,192.12405358182878,212.0
dwell,732,351.45544554455444,164.0
dwelt,312,131.21782178217822,93.0
dying,586,242.0133954571928,111.0
eager,567,200.73907979033197,114.0
eagle,678,230.29062317996505,124.0
early,168,72.09959231217239,64.0
earth,206,76.52358765288294,54.0
easel,528,167.04659289458357,112.0
eaten,545,179.5503785672685,113.0
eater,469,151.77518928363423,101.0
ebony,357,148.10541642399534,92.0
eclat,207,81.49970879440885,58.0
edict,281,117.1642399534071,70.0
edify,407,199.00931857891672,116.0
eerie,763,303.6796738497379,192.0
egret,648,245.8800232964473,185.0
eight,316,141.5160163075131,74.0
eject,964,429.74082702387886,380.0
eking,377,188.3709959231217,123.0
elate,530,164.5486313337216,107.0
elbow,337,166.86138613861385,108.0
elder,592,226.69772859638906,125.0
elect,648,232.11531741409436,128.0
elegy,865,347.68782760629006,235.0
elfin,296,131.75480489225393,89.0
elide,743,259.78567268491554,147.0
elite,606,197.10599883517764,134.0
elope,720,253.8357600465929,136.0
elude,793,293.25509609784507,145.0
email,227,90.01456027955737,71.0
embed,1094,499.19277810133957,467.0
ember,838,353.7716948165405,330.0
emcee,1205,569.8066394874782,258.0
empty,380,181.9213744903902,131.0
enact,207,79.5486313337216,53.0
endow,345,173.17938264414676,115.0
enema,677,277.69539895165985,204.0
enemy,893,370.81887012230635,275.0
enjoy,415,195.10366919044844,135.0
ennui,484,250.5165987186954,277.0
ensue,726,264.34595224228303,231.0
enter,526,194.21083284799067,176.0
entry,190,94.26849155503785,101.0
envoy,382,172.53756552125802,129.0
epoch,362,161.57775189283635,65.0
epoxy,448,225.8002329644729,150.0
equal,285,143.54047757716947,123.0
equip,417,214.50029120559114,182.0
erase,447,142.83925451368665,99.0
erect,607,212.2323820617356,164.0
erode,682,235.54338963308095,145.0
error,605,323.30168899242864,245.0
erupt,271,105.90273733255678,63.0
essay,435,212.10308677926616,182.0
ester,536,195.05765870704718,113.0
ether,650,246.29470005824112,139.0
ethic,301,136.7262667443215,92.0
ethos,304,121.97262667443215,81.0
etude,800,305.9504950495049,168.0
evade,807,328.72684915550377,188.0
event,828,339.12288875946416,249.0
every,804,355.93185789167154,344.0
evict,328,144.88817705299942,87.0
evoke,1040,459.3249854397204,281.0
exact,286,132.83692486895748,79.0
exalt,266,113.70471753057659,79.0
excel,960,427.17006406523006,304.0
exert,766,332.65463016889925,254.0
exile,875,353.2725684333139,204.0
exist,326,145.05940594059405,73.0
expel,1027,474.1077460687245,317.0
extol,295,140.07396622015142,112.0
extra,257,118.77635410599883,109.0
exult,322,157.88759464181712,114.0
eying,361,154.22306348281887,98.0
fable,308,116.28363424577752,64.0
facet,247,94.03785672684916,74.0
faint,334,116.59580663948748,78.0
fairy,267,113.41584158415841,88.0
faith,369,141.15142690739663,113.0
false,232,80.44787419918462,53.0
fancy,418,165.34711706464765,122.0
fanny,763,348.1555037856727,166.0
farce,263,87.33430401863716,78.0
fatal,779,313.8811881188119,191.0
fatty,763,343.63366336633663,198.0
